Name,Display Name,XML Attribute,Type,Enum Values,Behavior,Notes
PrimaryCompanyName,Company name,companyName,String,,Attribute,
PrimaryUserLogin,Login email,loginEmail,String,,Attribute,
ProxyKeywordMaxCpc,Default max. CPC,defaultMaxCPC,Bid,,Attribute,"Usually a number in the format ""x.xx"", but may return ""auto: x.xx"" or just ""auto"" if automatic bidding is used.
"
Quarter,Quarter,quarter,String,,Segment,"Prevents zero-impression rows from being returned.
"
RelativeCtr,Relative CTR,relativeCTR,Double,,Metric,
SearchExactMatchImpressionShare,Search Exact match IS,searchExactMatchIS,Double,,Metric,"A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the field ClickType.
"
SearchImpressionShare,Search Impr. share,searchImprShare,Double,,Metric,"A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the fields ClickType and HourOfDay.
"
SearchRankLostImpressionShare,Search Lost IS (rank),searchLostISRank,Double,,Metric,"A percentage returned as ""xx.xx%"", or the special values ""< 10%"" or ""> 90%"". Not compatible with the field ClickType.
"
Slot,Top vs. side,topVsSide,Slot,,Segment,
Status,Ad group state,adGroupState,AdGroupStatus,,Attribute,
TargetCpa,Max. CPA (converted clicks),maxCPAConvertedClicks,Money,,Attribute,
TotalConvValue,Total conv. value,totalConvValue,Long,,Metric,"The HTTP header returnMoneyInMicros does not affect this field.
"
TotalCost,Total cost,totalCost,Money,,Metric,
ValuePerConv,Value / converted click,valueConvertedClick,Double,,Metric,
ValuePerConversion,Value / converted click,valueConvertedClick,Double,,Metric,
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,,Metric,
ValuePerConvManyPerClick,Value / conv.,valueConv,Double,,Metric,
ValuePerEstimatedTotalConversion,Value / est. total conv.,valueEstTotalConv,Double,,Metric,
ViewThroughConversions,View-through conv.,viewThroughConv,Long,,Metric,
Week,Week,week,String,,Segment,"Prevents zero-impression rows from being returned.
"
Year,Year,year,Integer,,Segment,"Prevents zero-impression rows from being returned.
"
