Name,Display Name,XML Attribute,Type,Supports Zero Impressions,Enum Values,Behavior,Notes
CpmBidSource,Max CPM Source,maxCPMSource,BidSource,True,"ADGROUP / ad groups
CRITERION / ad group criteria
",Attribute,"Predicate values / display values:
ADGROUP / ad groups
CRITERION / ad group criteria
"
CriteriaDestinationUrl,Destination URL,destinationURL,String,True,,Attribute,"In the Destination URL report, this field behaves as a segment.
"
Ctr,CTR,ctr,Double,True,,Metric,"Percentage returned as ""x.xx%"".
"
CustomerDescriptiveName,Client name,clientName,String,True,,Attribute,
Date,Day,day,Date,True,,Segment,
DayOfWeek,Day of week,dayOfWeek,DayOfWeek,True,"MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
",Segment,"Predicate values / display values:
MONDAY / Monday
TUESDAY / Tuesday
WEDNESDAY / Wednesday
THURSDAY / Thursday
FRIDAY / Friday
SATURDAY / Saturday
SUNDAY / Sunday
"
DestinationUrl,Destination URL,destinationURL,String,True,,Attribute,
Device,Device,device,DeviceType,True,"UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
",Segment,"Predicate values / display values:
UNKNOWN / Other
DESKTOP / Computers
HIGH_END_MOBILE / Mobile devices with full browsers
TABLET / Tablets with full browsers
"
ExternalCustomerId,Customer ID,customerID,Long,True,,Attribute,
Id,Keyword ID,keywordID,Long,True,,Attribute,
Impressions,Impressions,impressions,Long,True,,Metric,
IsNegative,Is negative,isNegative,Boolean,True,,Attribute,
IsRestrict,Is restricting,isRestricting,boolean,True,,Attribute,"Defines if criterion is used for targeting (true) or bidding only (false).
"
KeywordText,Keyword,keyword,String,True,,Attribute,
Month,Month,month,String,True,,Segment,
MonthOfYear,Month of Year,monthOfYear,MonthOfYear,True,"JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
",Segment,"Predicate values / display values:
JANUARY / January
FEBRUARY / February
MARCH / March
APRIL / April
MAY / May
JUNE / June
JULY / July
AUGUST / August
SEPTEMBER / September
OCTOBER / October
NOVEMBER / November
DECEMBER / December
"
PrimaryCompanyName,Company name,companyName,String,True,,Attribute,
Quarter,Quarter,quarter,String,True,,Segment,
Status,Keyword state,keywordState,UserStatus,True,"ENABLED / enabled
REMOVED / removed
PAUSED / paused
",Attribute,"Predicate values / display values:
ENABLED / enabled
REMOVED / removed
PAUSED / paused
"
ValuePerConversion,Value / converted click,valueConvertedClick,Double,True,,Metric,
ValuePerConversionManyPerClick,Value / conv.,valueConv,Double,True,,Metric,
ViewThroughConversions,View-through conv.,viewThroughConv,Long,True,,Metric,
Week,Week,week,String,True,,Segment,
Year,Year,year,Integer,True,,Segment,
